freq,regisveh,unit,vehicle,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,D001,MIO_VKM,LOR_RTRN,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5567 	: 	4297 	: 	: 	: 	8063 	8103.7 e	8201.3 	8650.9 	: 	10436 e	9063 	: 	: 	: 	: 	8128 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,LOR_RTRN,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37749 	37550 	40316 	53355 	57073 	58039 	62627 	65412 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13638.19 	13653.95 	13689.76 	12046.2 	11941.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,LOR_RTRN,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1136.1 	: 	: 	1349.7 	1114.6 	1131.6 	1129.5 	1236.15 	1339.9 	1450 	1485 	1608 	1615 	: 	: 	: 	: 	: 	1576.200 e	1060.800 e	1281 e	1462.600 e	1643.300 e	1981.900 e	1993.700 e	1720.300 
A,D001,MIO_VKM,LOR_RTRN,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32186 	28962 	26302 	24554 	23461 	21734 	20960 	21936 	22994 	23432 	25299 	26165 	26891 	34188 
A,D001,MIO_VKM,LOR_RTRN,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5640 	5390 	5660 	5690 	5700 	5790 	5900 	6120 	6120 	6230 	6305 	6375 r	6480 	6635 	6775 	6875 	6960 	7110 	7115 	6820 	6990 	7100 	: 	7080 	7200 	7210 	9007 b	8982 	9104 	9148 	8928 
A,D001,MIO_VKM,LOR_RTRN,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	114838 	118992 	122493 	: 	27121 	26723 	26471 	26471 	28117 	28332 	34897 	: 
A,D001,MIO_VKM,LOR_RTRN,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1960 	1971 	2074 	1946 	1894 	1917 	1870 	1833 	1727 	1660 	1830 	2030 	2290 	2570 	2860 	2610 
A,D001,MIO_VKM,LOR_RTRN,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11450.8 	8258 	: 	: 	: 	9873.440 	10246 	10771.590 	10996.210 	11595.750 e	12006.130 e	12251.420 e	11020.770 
A,D001,MIO_VKM,LOR_RTRN,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4677 	: 	2034 	2039 	2244 	1956 	2031 	: 	: 	: 	: 	2406.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6320 	8833 	8546 	8915 	9287 	7891 	8023 	7283 
A,D001,MIO_VKM,LOR_RTRN,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	118 	125 	132 	133 r	146 r	150 r	154 r	159 e	170 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,LOR_RTRN,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: 	: z	: z	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,LOR_RTRN,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2164 	: 	: 	: 	: 	736 	851 	1136 	: 	1447.4 	1650.1 	1322.9 	2063.9 	689.2 	271.7 	221.6 	216.7 	: 	1540 	1535 	1506 	1560 	1571 	1592 	1660 	1614 
A,D001,MIO_VKM,LOR_RTRN,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1576 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,LOR_RTRN,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	364.820 e	395 e	: 	: 	: 
A,D001,MIO_VKM,LOR_RTRN,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	653 r	660 r	560 r	450 r	666 	720 	757 	: 	625 	855 	860 	904 	964 	960 	835 	837 
A,D001,MIO_VKM,LOR_RTRN,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.4 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,LOR_RTRN,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15970 	17123 	17206 	18184 	18973 	: 	: 	: 	: 	: 	: 	: 	: 	3363 	3287 	3280 	3269 	3110 	: 	2928 	: 	23381 	23359 	23904 	24937 	25569 	26271 	26590 	25978 
A,D001,MIO_VKM,LOR_RTRN,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	463 	503 	581 	606 	1392 e	1334 e	1362 	: 	9400 e	9325 e	9251 e	9207 e	9303 e	9431 	9474 e	9200 
A,D001,MIO_VKM,LOR_RTRN,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26543 	: 	: 	: 	32333 	36436 	39679 	44190 	: 	: 	: 	: 	: 	4317 	4686 	10678 	11325 	: 	35346 	35505 e	35559 e	: 	: 	: 	: 	: 
A,D001,MIO_VKM,LOR_RTRN,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8581 	8738 	8579 	8652 	8728 	8963 	9205 	9454 	9709 	9972 
A,D001,MIO_VKM,LOR_RTRN,SE	5011 	4948 	4930 	5183 	4722 	4647 	4969 	5208 	5322 	5411 	5415 	5367 	5448 	5555 	5633 	5845 	5970 	6492 	7124 	7965 	7243 b	7435 	7389 	7223 	7345 	7487 	7558 	7656 	7916 	8304 	8600 	8965 	9507 	9774 	10064 	10421 	10740 	11378 	11497 	11564 	11645 	: 	: 	12821 	13060 	13218 	13480 	13923 	14253 	14290 	13961.548 
A,D001,MIO_VKM,LOR_RTRN,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	828 r	791 	690 r	629 r	663 r	510 r	759 r	803 r	792 r	844 r	945 r	949 r	1013 r	1274 r	1412 	1542 	1668 	1914 	1996 	1862 	1898 	: 	: 	: 	: 	2314 p	2575 	2650 	2765 p	: 	2832 p
A,D001,MIO_VKM,LOR_RTRN,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1220 	: 	: 	: 	: 	: 	: 	: 	1181.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,LOR_RTRN,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11252 	: 	: 	16100 	15918 	16861 r	15729 	15622 	15722 r	16032 	17198 	18001 	18986 	18821 	20511 	21268 	22868 	24953 	25930 	26054 	27488 	28266 	: 	: 	: 	: 
A,D001,MIO_VKM,LOR_RTRN,UK	17562 	18096 	18427 	19333 	18647 	18339 	19172 	18831 	19497 	19609 	19669 	18887 	18378 	18807 	19557 	19594 	20139 	22333 	23758 	25462 	24902 	24513 	23837 b	24225 r	24775 r	25444 r	26235 r	26855 r	27739 r	28129 r	28240 r	28067 r	28327 r	28489 r	29361 	30095 	30225 	30464 	31145 r	26364 	26448 	92226 	91441 	93756 	98312 	102317 	106266 	108686 	: 	117321 	107583 
A,D001,MIO_VKM,MOTO,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1287 d	1244 	1243 	1243 	1263 	1302 	1338 	1379 	1443 	1502 	1528 	1552 	1580 	1609 	1625 	1667 	1715 	1775 	1840 	1897 	1942 	1986 	2040 	2081 	2116 	2151 	2198 	2243 	: 	: 	: 
A,D001,MIO_VKM,MOTO,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1020 	1030 	1050 	1060 r	1080 	1210 	1250 	1300 	1620 	1330 	1270 	: 	: 	1250 	1240 	1220 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,MOTO,CH	2532 	2598 	2728 	2835 	2957 	2851 	2882 	2958 	3026 	3025 	3034 	3034 	2927 	2894 	2740 	2684 	2561 	2477 	2320 	2224 r	2025 r	1947 	1866 r	1792 r	1564 r	1563 r	1555 r	1599 r	1630 r	1670 r	1700 r	1734 r	1763 r	1811 r	1796 r	1785 r	1813 r	1821 r	1850 r	1847 r	1852 r	1894 	1933 	1904 	1920 	1937 	1976 	2008 	2046 	2068 	2152 
A,D001,MIO_VKM,MOTO,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	213 	331 	340.9 	343.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,MOTO,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	615 	: 	265 	: 	: 	: 	330 	327 e	312 e	305 e	304 e	303 e	292 	: 	: 	: 	: 	392 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,MOTO,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5738 	5708 	5861 	8653 	7752 	7363 	9159 	8843 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13210 	10840 	11120 	11413.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,MOTO,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.900 e	44 e	48.100 e	54.100 e	56 e	46.600 e	51.400 
A,D001,MIO_VKM,MOTO,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1965 	1430 	2055 	2096 	1457 	1472 	1449 	1587 	1535 	3750 	3826 	3683 	3643 	2350 
A,D001,MIO_VKM,MOTO,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	800 	900 	900 	900 	900 	900 	900 	900 	900 	900 	900 	900 	900 e	900 e	900 e	900 e	900 e	900 	900 e	900 e	900 	900 	: 	1161 	1161 	1161 	1161 	1161 	1161 	1161 	1161 
A,D001,MIO_VKM,MOTO,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13918 	13918 	13932 	: 	13932 	13932 	11133 	11210 	11273 	11340 	11340 	9583 
A,D001,MIO_VKM,MOTO,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	142 	148 	160 	153 	150 	154 	189 	189 	189 	195 	215 	225 	235 	240 	250 	220 
A,D001,MIO_VKM,MOTO,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	454.7 	468 	: 	: 	: 	407.040 	407 	432.990 	432.920 	456.160 e	481.610 e	494.020 e	455.640 
A,D001,MIO_VKM,MOTO,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	241 	: 	249 	237 	259 	278 	295 	: 	: 	: 	: 	266.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103 	103 	102 	104 	108 	109 	114 	101 
A,D001,MIO_VKM,MOTO,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 e	0 e	0 e	0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,MOTO,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: 	: z	: z	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,MOTO,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	63 	61.6 	65.2 	74.3 	235.3 	137.8 	301.1 	237.6 	: 	57 	33 	17 	14 	12 	11 	11 	10 
A,D001,MIO_VKM,MOTO,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.4 	47.2 	53.7 	58.16 	55.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,MOTO,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.510 e	17 e	: 	: 	: 
A,D001,MIO_VKM,MOTO,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.16 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,MOTO,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1035 	1338 	1831 	1357 	1456 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2210 	2166 	2127 	2136 	2153 	2167 	2210 	2526 
A,D001,MIO_VKM,MOTO,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	690 e	720 e	745 	: 	1371 e	1402 e	1463 e	1484 e	1508 e	1506 e	1504 e	1504 
A,D001,MIO_VKM,MOTO,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1248 	1197 	3118 	3544 	: 	4048 	3840 e	3666 e	: 	: 	: 	: 	: 
A,D001,MIO_VKM,MOTO,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	594 	576 	709 	745 	786 	789 	792 	796 	800 	804 
A,D001,MIO_VKM,MOTO,SE	185 	187 	191 	211 	206 	206 	212 	211 	210 	216 	236 	283 	355 	423 	465 	479 	460 	461 	460 	459 	292 b	299 	326 	334 	339 	345 	358 	377 	392 	426 	468 	511 	578 	625 	674 	680 	708 	728 	847 	856 e	816 e	: 	: 	691 	665 	699 	696 	670 	646 	652 	693.251 
A,D001,MIO_VKM,MOTO,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	63 	37 	40 r	40 r	39 r	46 r	55 r	63 r	74 r	71 r	78 r	73 r	73 r	88 r	100 	112 	127 	146 	137 	165 	151 	: 	: 	: 	: 	244 p	218 	233 	235 p	: 	230 p
A,D001,MIO_VKM,MOTO,UK	3970 	3930 	3690 	3910 	4240 	5060 	6340 	6220 	6141 	6390 	7670 	8870 	9220 	8270 	8110 	7370 	7070 	6710 	6030 	5944 	5569 	5395 	4527 b	3766 r	3775 r	3750 r	3760 r	3962 r	4109 r	4495 r	4573 r	4816 r	5080 r	5607 r	5155 	5432 	5197 	5588 	: c	5230 	4701 	4642 	4551 	4328 	4464 	4463 	4463 	4449 	: 	4786 	3949 
A,D001,MIO_VKM,TOTAL,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48687 d	50734 	52608 	53867 	56228 	57240 	58711 	60148 	61826 	63748 	65143 	66312 	67847 	69167 	70151 	71513 	72555 	74196 	75292 	74767 	75957 	77258 	77178 	78107 	80604 	82622 	85014 	86854 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91040 	91470 	92680 	93080 r	94560 	94550 	96370 	98790 	97470 	98240 	98680 	: 	: 	102420 	98800 	99910 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1483.7 	11301.9 	1434 	1479.7 	1522 	1399.800 	1432.300 	1449.800 	1449.900 	1426.600 	1129.700 	1197.500 
A,D001,MIO_VKM,TOTAL,CA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	333287 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,CH	28335 	29618 	30991 	31946 	32440 	33502 	33953 	35798 	36917 	37620 	38554 	38843 	40513 	41557 	42969 	43045 	44398 	45532 	47127 	48609 	49624 	50588 r	49960 	48925 r	47608 r	48071 r	48387 r	49231 r	50353 r	51501 r	52891 r	53489 r	55228 r	54741 r	54290 r	55606 r	56055 r	56592 r	57432 r	58324 r	59061 r	: 	61106 	63130 	64216 	65351 	66658 	67822 	68616 	69265 	58620 
A,D001,MIO_VKM,TOTAL,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6700.2 	8658 	8598.5 	8590.1 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45024 	: 	31270 	34690 	36840 	39015 	40290 	40490 e	40972 	43193 e	45686 e	47300 e	47169 	48505 	50324 	51918 	53555 	46381 	47541 	46875 	47156 	48335 	50934 	52775 	54558 	56401 	56401 	51989 
A,D001,MIO_VKM,TOTAL,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	459671 	469320 	488499 	574219 	589962 	597454 	590921 	603516 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15989287 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5255.5 	: 	: 	6281.7 	6376.6 	6440.5 	6537.9 	6842.69 	7416.5 	7895 	8061 	8713 	9668 	: 	: 	: 	: 	: 	9111.800 e	9471.600 e	9976 e	10387.300 e	10811.300 e	11197.100 e	11659.100 e	11251.300 
A,D001,MIO_VKM,TOTAL,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	166272 r	173688 r	179531 r	188524 r	201807 r	208508 r	217682 r	228172 r	236355 r	241715 r	245073 	247877 	256660 	251748 	249371 	241131 	234678 	224285 	220377 	222689 	230840 	239353 	244661 	250192 	252055 	195687 
A,D001,MIO_VKM,TOTAL,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39750 	39170 	42350 	41830 	41750 	42170 	42520 	43530 	44800 	46010 	46710 	47650 	48750 	49790 	50890 	51675 	53050 	54150 	53880 	54250 	54715 	55360 	: 	55331 	55741 	56306 	51522 b	51386 	51597 	51548 	49704 
A,D001,MIO_VKM,TOTAL,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	514481 	525185 	529543 	: 	567829 	572394 	603896 	613696 	619908 	620159 	615372 	511172 
A,D001,MIO_VKM,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15262 	16719 	18215 	19419 	19957 	20520 	21604 	21861 	21308 	20971 	20609 	20317 	20216 	20440 	21195 	21920 	22750 	23440 	24280 	19850 
A,D001,MIO_VKM,TOTAL,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39748.44 	36121 	: 	: 	: 	36055.770 	36771 	38580.570 	40451.330 	43015.720 e	44796.460 e	46415.930 e	41012.560 
A,D001,MIO_VKM,TOTAL,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24446 	: 	26270 	27350 	29266 	31794 	34532 	: 	: 	: 	: 	30578.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39626 	42738 	44835 	46836 	47795 	47545 	47072 	36237 
